COD_BLOCO,MAPE
111111112,0.118
111111120,0.068
111111211,0.048
111111215,0.042
111111222,0.006
111111225,0.036
111111227,0.045
111111238,0.009
111111310,0.425
111111321,0.052
111111342,0.025
111111343,0.049
111111344,0.066
111111351,0.012
111111352,0.032
111111353,0.009
111111354,0.019
111111355,0.049
111111360,0.019
111111380,0.059
111111400,0.03
111112110,0.017
111112111,0.656
111114100,0.052
111114300,0.078
111115000,0.067
111115300,0.519
111131100,0.071
111131400,0.176
111132100,0.061
111132200,0.052
111132300,0.031
1111112211,0.021
1111112213,0.012
1111112214,0.022
1111112215,0.071
1111112216,0.028
1111112232,0.024
1111112241,0.043
1111112261,0.011
1111112262,0.023
1111112263,0.034
1111112391,0.014
1111112392,0.005
1111112393,0.035
1111113412,0.028
1111121201,0.06
1111121202,0.039
1111121203,0.072
1111121505,0.05
1111121901,0.029
1111121902,0.064
1111131000,0.038
1111133000,0.078
1111134000,0.037
1111135000,0.288
1111136000,0.057
1111137000,0.043
1111138000,0.033
1111139000,0.037
1111140000,0.009
1111141000,0.075
1117200001,0.054
-1773411766,0.033
